bid,name,country,webpage
1,Iron Maiden,England,http://www.ironmaiden.com
2,Bruce Dickinson,England,
3,Savatage,USA,http://www.savatage.com
4,Iced Earth,USA,http://icedearth.com
5,Samael,Switzerland,
6,Sanctuary,USA,
7,Nevermore,USA,http://www.the.nl/nevermore
8,Helloween,Germany,
9,Gamma Ray,Germany,
10,Crimson Glory,USA,
11,Blind Guardian,Germany,http://www.blind-guardian.com
12,Demons & Wizards,USA / Germany,
13,Dark Tranquility,Sweden,http://www.darktranquillity.com
14,Opeth,Sweden,http://www.opeth.com
15,Theatre Of Tragedy,Norway,http://www.theatreoftragedy.com
16,Tristania,Norway,
17,EverEve,Germany,
18,Candlemass,Sweden,
19,Memento Mori,Sweden,
20,Cirith Ungol,USA,
21,Hans Zimmer,,http://www.last.fm/music/Hans+Zimmer
22,Black Sabbath,,http://www.last.fm/music/Black+Sabbath
23,Susanne Sundfør,,http://www.last.fm/music/Susanne+Sundf%C3%B8r
24,Elton John,,http://www.last.fm/music/Elton+John
25,Funki Porcini,,http://www.last.fm/music/Funki+Porcini
26,Goo Goo Dolls,,http://www.last.fm/music/Goo+Goo+Dolls
27,Depeche Mode,,http://www.last.fm/music/Depeche+Mode
28,Röyksopp,,http://www.last.fm/music/R%C3%B6yksopp
29,Shiny Toy Guns,,http://www.last.fm/music/Shiny+Toy+Guns
30,Pixies,,http://www.last.fm/music/Pixies
31,Primal Scream,,http://www.last.fm/music/Primal+Scream
32,Skinny Puppy,,http://www.last.fm/music/Skinny+Puppy
33,The Smashing Pumpkins,,http://www.last.fm/music/The+Smashing+Pumpkins
34,Powderfinger,,http://www.last.fm/music/Powderfinger
35,Skalpel,,http://www.last.fm/music/Skalpel
36,The Cure,,http://www.last.fm/music/The+Cure
37,Sonic Youth,,http://www.last.fm/music/Sonic+Youth
38,Joy Division,,http://www.last.fm/music/Joy+Division
39,Oasis,,http://www.last.fm/music/Oasis
40,Front 242,,http://www.last.fm/music/Front+242
41,Electric Six,,http://www.last.fm/music/Electric+Six
42,Green Day,,http://www.last.fm/music/Green+Day
43,Adele,England,http://en.wikipedia.org/wiki/Adele
